lattice,Al,Al4Mg2,Al5Mg1,Al6,Mg4,Al1Mg3,Al2Mg2,Al3Mg1,Al4,Mg
7.0,-485.83760700000005,170.1040163,85.05226682,-1.9e-05,340.22735930000005,255.16510380000003,170.10699730000002,85.05217703,-2.267e-05,-400.78076717500005
7.1,-485.845934,170.0852757,85.04283344,-1.679e-05,340.1904117,255.1371679,170.0882505,85.04275172,-2.006e-05,-400.79833107499996
7.2,-485.85245810000004,170.0675422,85.03391377,-1.499e-05,340.155286,255.1106673,170.070497,85.03383782,-1.793e-05,-400.81363660000005
7.3,-485.8573869,170.0507579,85.02547635,-1.352e-05,340.12190310000005,255.08553230000004,170.05368280000002,85.02540439,-1.618e-05,-400.826911125
7.4,-485.86090470000005,170.0347168,85.0174189,-1.23e-05,340.0898806,255.061465,170.03760269999998,85.01734574,-1.472e-05,-400.83843455000004
7.5,-485.86317460000004,170.01940349999998,85.00972204,-1.136e-05,340.059188,255.0384435,170.02224219999997,85.0096547,-1.36e-05,-400.84837760000005
7.6,-485.8643527,170.00503989999999,85.00251076,-1.06e-05,340.03027369999995,255.01680609999997,170.00782719999998,85.00244424,-1.27e-05,-400.856784275
7.7,-485.8645828,169.99172099999998,84.99582842,-9.99e-06,340.00334649999996,254.99670419999998,169.99445569999997,84.99576205,-1.196e-05,-400.863746175
7.8,-485.8639909,169.9793439,84.98962152,-9.55e-06,339.9782168,254.9779875,169.9820241,84.98955509,-1.143e-05,-400.8694367
7.9,-485.862687,169.96773259999998,84.98379956,-9.3e-06,339.9545358,254.96038900000002,169.9703524,84.98373309,-1.097e-05,-400.87405305
8.0,-485.8607678999999,169.9568285,84.97833385,-9e-06,339.9321661,254.9438119,169.9593801,84.97826748,-1.068e-05,-400.87772637499995
8.1,-485.85832450000004,169.94681469999998,84.97332138,-8.72e-06,339.91145539999997,254.9285265,169.94929309999998,84.97325386,-1.046e-05,-400.88046065000003
8.2,-485.85544810000005,169.93779750000002,84.96881466,-8.57e-06,339.8926667,254.91471119999997,169.9402031,84.96874603,-1.026e-05,-400.88228142500003
8.3,-485.852212,169.9295468,84.96469344,-8.46e-06,339.8753862,254.9020318,169.93187700000001,84.96462398,-1.012e-05,-400.88336545000004
8.4,-485.8486786,169.922021,84.96093676,-8.38e-06,339.85954100000004,254.89042909999998,169.9242738,84.96086683,-1.002e-05,-400.88379335
8.5,-485.84490719999997,169.9152496,84.95755849999999,-8.34e-06,339.84521760000007,254.87995690000002,169.9174242,84.95748856,-9.96e-06,-400.88360279999995
8.6,-485.8409477,169.90912780000002,84.95450253,-8.36e-06,339.8322374,254.8704665,169.9112217,84.95443308,-9.96e-06,-400.88288835000003
8.7,-485.8368362,169.903493,84.95168568,-8.34e-06,339.82027220000003,254.86171230000002,169.9055014,84.95161725,-9.92e-06,-400.88176814999997
8.8,-485.8326032,169.8983226,84.94909896,-8.35e-06,339.80925360000003,254.85365389999998,169.9002416,84.94903198,-9.92e-06,-400.8802898
8.9,-485.8282779,169.8936665,84.94677002,-8.43e-06,339.79926739999996,254.84636260000002,169.8954938,84.94670481,-1e-05,-400.87846105
9.0,-485.8238847,169.8895514,84.94471393,-8.45e-06,339.790358,254.8398756,169.8912855,84.94465074,-1.007e-05,-400.8762952
