lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
7.0,170.1070038,85.05218903,-0.00001748,170.1040163,85.05226682,-0.000019,170.1047388,85.05218215,-0.00002036,170.1039378,85.05221702,-0.00002114,170.1046313,85.0522114,-0.00002186,170.1044987,85.05221697,-0.00002201,170.104395,85.0522001,-0.0000222,170.1044982,85.05224102,-0.00002236,170.1048291,85.0521924,-0.00002243,170.1046653,85.05220225,-0.00002244,170.1044559,85.0522118,-0.00002253
7.1,170.0882516,85.04276076,-0.00001545,170.0852757,85.04283344,-0.00001679,170.085878,85.04275387,-0.000018,170.0850816,85.04278264,-0.0000187,170.0857651,85.04278124,-0.00001933,170.0856435,85.04276768,-0.00001947,170.0855174,85.04276768,-0.00001963,170.0856232,85.0428073,-0.00001977,170.0859392,85.04275888,-0.00001983,170.0857881,85.0427723,-0.00001984,170.0855937,85.04277859,-0.00001992
7.2,170.0704964,85.03384565,-0.0000138,170.0675422,85.03391377,-0.00001499,170.0680434,85.03383995,-0.00001608,170.0672515,85.03386367,-0.00001671,170.067922,85.03386524,-0.00001727,170.0678193,85.03386426,-0.0000174,170.0676704,85.0338508,-0.00001753,170.0677733,85.0338884,-0.00001764,170.0680699,85.03384288,-0.0000177,170.06793,85.0338585,-0.00001771,170.0677577,85.0338608,-0.00001777
7.3,170.0536838,85.02541261,-0.00001244,170.0507579,85.02547635,-0.00001352,170.0511747,85.02540888,-0.0000145,170.0503888,85.02542852,-0.00001506,170.051043,85.02543213,-0.00001558,170.0509633,85.02542971,-0.00001568,170.0507938,85.02541798,-0.00001581,170.0508919,85.02545317,-0.00001591,170.0511634,85.02541147,-0.00001596,170.0510331,85.02542884,-0.00001597,170.0508877,85.02542724,-0.00001603
7.4,170.0376078,85.01735557,-0.00001131,170.0347168,85.0174189,-0.0000123,170.0350603,85.01735414,-0.0000132,170.0342839,85.01737046,-0.00001372,170.0349191,85.01737562,-0.00001418,170.0348629,85.01737243,-0.00001428,170.034676,85.01736257,-0.0000144,170.0347709,85.01739527,-0.00001449,170.0350139,85.0173577,-0.00001454,170.0348916,85.0173762,-0.00001454,170.0347743,85.01737151,-0.0000146
7.5,170.0222535,85.00966717,-0.00001045,170.0194035,85.00972204,-0.00001136,170.0196838,85.00966815,-0.0000122,170.0189212,85.00968177,-0.00001267,170.0195345,85.00968811,-0.0000131,170.0195021,85.00968474,-0.0000132,170.0193008,85.00967686,-0.0000133,170.0193941,85.009707,-0.00001338,170.0196078,85.00967381,-0.00001343,170.0194905,85.0096929,-0.00001344,170.0194025,85.00968586,-0.00001348
7.6,170.0078467,85.00246033,-0.00000975,170.0050399,85.00251076,-0.0000106,170.0052698,85.00246368,-0.00001138,170.0045241,85.00247522,-0.00001182,170.0051135,85.00248242,-0.00001222,170.0051051,85.00247929,-0.00001231,170.0048931,85.00247346,-0.0000124,170.0049861,85.00247251,-0.00001248,170.0051683,85.00247251,-0.00001252,170.0050527,85.00249171,-0.00001253,170.004996,85.00248291,-0.00001257
7.7,169.994485,84.99578248,-0.00000919,169.991721,84.99582842,-0.00000999,169.9919125,84.99578792,-0.00001072,169.9911867,84.99579789,-0.00001121,169.9917512,84.99580583,-0.00001151,169.991765,84.99580305,-0.0000116,169.9915471,84.99579937,-0.00001169,169.9916419,84.99582489,-0.00001176,169.9917886,84.9958007,-0.0000118,169.9916739,84.99581954,-0.0000118,169.9916478,84.99580969,-0.00001184
7.8,169.9820636,84.98958018,-0.00000878,169.9793439,84.98962152,-0.00000955,169.9795035,84.989596,-0.00001025,169.978803,84.989596,-0.00001065,169.9793415,84.98960481,-0.000011,169.9793727,84.98960222,-0.00001108,169.9791554,84.98960081,-0.00001117,169.9792539,84.98962472,-0.00001124,169.9793615,84.98960442,-0.00001128,169.9792511,84.98962239,-0.00001128,169.9792501,84.98961239,-0.00001132
7.9,169.9704023,84.98376294,-0.00000842,169.9677326,84.98379956,-0.0000093,169.9678606,84.98377118,-0.00000982,169.9671933,84.98377885,-0.0000102,169.9677033,84.98378877,-0.00001055,169.9677451,84.98378618,-0.00001062,169.967536,84.98378709,-0.0000107,169.9676389,84.98380998,-0.00001076,169.967707,84.98379285,-0.0000109,169.967608,84.98380954,-0.0000108,169.9676222,84.98380034,-0.00001084
