lattice,host,Ru4,Pd1Ru3,Pd2Ru2,Pd3Ru1,Pd4,Pd4Ru2,Pd5Ru1,Pd6
6.8,-10093.559870000001,4119.913377000001,3089.948228,2059.975265,1029.992845,-1.525e-05,2059.975265,1029.992845,-1.525e-05
7.0,-10093.59571,4119.949237,3089.9744149999997,2059.992232,1030.001074,-1.619e-05,2059.992232,1030.001074,-1.619e-05
7.1,-10093.60713,4119.9703420000005,3089.989949,2060.002384,1030.0060429999999,-2.183e-05,2060.002384,1030.0060429999999,-2.183e-05
7.2,-10093.61505,4119.993338,3090.006931,2060.013523,1030.011522,-1.822e-05,2060.013523,1030.011522,-1.822e-05
7.3,-10093.61997,4120.017978,3090.025161,2060.0255039999997,1030.0174240000001,-2.733e-05,2060.0255039999997,1030.0174240000001,-2.733e-05
7.4,-10093.62236,4120.044062,3090.044489,2060.0382280000003,1030.023704,-3.265e-05,2060.0382280000003,1030.023704,-3.265e-05
7.5,-10093.62262,4120.071371,3090.064747,2060.051578,1030.030302,-3.604e-05,2060.051578,1030.030302,-3.604e-05
7.6,-10093.62111,4120.099672,3090.08575,2060.0654219999997,1030.037141,-5.572e-05,2060.0654219999997,1030.037141,-5.572e-05
7.7,-10093.618120000001,4120.128782,3090.107361,2060.079672,1030.044182,-7.645e-05,2060.079672,1030.044182,-7.645e-05
7.8,-10093.61392,4120.158501,3090.12943,2060.094224,1030.051371,-0.00010299,2060.094224,1030.051371,-0.00010299
7.9,-10093.608740000001,4120.18861,3090.151783,2060.108952,1030.0586289999999,-0.0001607,2060.108952,1030.0586289999999,-0.0001607
8.0,-10093.60277,4120.218947,3090.1743,2060.123778,1030.065923,-0.00024047,2060.123778,1030.065923,-0.00024047
