lattice,1_II,1_IH,1_HH,2_II,2_IH,2_HH,3_II,3_IH,3_HH,4_II,4_IH,4_HH,5_II,5_IH,5_HH,6_II,6_IH,6_HH,7_II,7_IH,7_HH,8_II,8_IH,8_HH,9_II,9_IH,9_HH,10_II,10_IH,10_HH,11_II,11_IH,11_HH
6.8,2059.974698,1029.992533,-1.046e-05,2059.988178,1029.992476,-1.159e-05,2059.985539,1029.992657,-1.28e-05,2059.988234,1029.992641,-1.34e-05,2059.985817,1029.992534,-1.396e-05,2059.984861,1029.992547,-1.394e-05,2059.985667,1029.992635,-1.39e-05,2059.984906,1029.992558,-1.386e-05,2059.986929,1029.992657,-1.383e-05,2059.985295,1029.992549,-1.382e-05,2059.982324,1029.991113,-1.999e-05
7.0,2059.991696,1030.000781,-1.113e-05,2060.004111,1030.000733,-1.233e-05,2060.00204,1030.000897,-1.36e-05,2060.004475,1030.000878,-1.42e-05,2060.002241,1030.000786,-1.481e-05,2060.001387,1030.00079,-1.478e-05,2060.002081,1030.000871,-1.474e-05,2060.001491,1030.000797,-1.469e-05,2060.00316,1030.000892,-1.466e-05,2060.001741,1030.00079,-1.465e-05,2059.998776,1029.999334,-1.998e-05
7.1,2060.001862,1030.00576,-1.597e-05,2060.013794,1030.005714,-1.753e-05,2060.012004,1030.005871,-1.901e-05,2060.014298,1030.00585,-1.978e-05,2060.012166,1030.005766,-2.053e-05,2060.011357,1030.005765,-2.059e-05,2060.012005,1030.005843,-2.065e-05,2060.011489,1030.005769,-2.071e-05,2060.012995,1030.005862,-2.072e-05,2060.011679,1030.005764,-2.073e-05,2060.00875,1030.00432,-2.037e-05
7.2,2060.013015,1030.011248,-1.241e-05,2060.024494,1030.011205,-1.375e-05,2060.022977,1030.011355,-1.52e-05,2060.02513,1030.011331,-1.586e-05,2060.0231,1030.011255,-1.656e-05,2060.022335,1030.011249,-1.649e-05,2060.022942,1030.011325,-1.642e-05,2060.022494,1030.011252,-1.635e-05,2060.023846,1030.011344,-1.63e-05,2060.022631,1030.011248,-1.629e-05,2060.019733,1030.009809,-2.256e-05
7.3,2060.02501,1030.017159,-1.969e-05,2060.03606,1030.017118,-2.162e-05,2060.034804,1030.017261,-2.352e-05,2060.036819,1030.017234,-2.448e-05,2060.03489,1030.017165,-2.545e-05,2060.034165,1030.017155,-2.545e-05,2060.034737,1030.017228,-2.546e-05,2060.034349,1030.017157,-2.547e-05,2060.035558,1030.017245,-2.549e-05,2060.034439,1030.017153,-2.549e-05,2060.031598,1030.015739,-2.501e-05
7.4,2060.037748,1030.023449,-2.326e-05,2060.048394,1030.023409,-2.559e-05,2060.047384,1030.023545,-2.789e-05,2060.049264,1030.023517,-2.902e-05,2060.047434,1030.023455,-3.022e-05,2060.046748,1030.02344,-3.017e-05,2060.047288,1030.02351,-3.012e-05,2060.046953,1030.023441,-3.008e-05,2060.04803,1030.023527,-3.01e-05,2060.047004,1030.023438,-3.011e-05,2060.044228,1030.022052,-3.009e-05
7.5,2060.051112,1030.030057,-2.436e-05,2060.061376,1030.030019,-2.699e-05,2060.060595,1030.030148,-2.983e-05,2060.062346,1030.030118,-3.108e-05,2060.060611,1030.030061,-3.25e-05,2060.059963,1030.030044,-3.228e-05,2060.060475,1030.030111,-3.204e-05,2060.060186,1030.030044,-3.182e-05,2060.061141,1030.030127,-3.176e-05,2060.060204,1030.030042,-3.173e-05,2060.057503,1030.028686,-3.73e-05
7.6,2060.064972,1030.036908,-3.877e-05,2060.074876,1030.03687,-4.268e-05,2060.074303,1030.036993,-4.682e-05,2060.075932,1030.03696,-4.874e-05,2060.074286,1030.036909,-5.08e-05,2060.073675,1030.036888,-5.056e-05,2060.07416,1030.036952,-5.029e-05,2060.073911,1030.036887,-5.001e-05,2060.074754,1030.036967,-5.001e-05,2060.073903,1030.036886,-4.995e-05,2060.071309,1030.035584,-4.938e-05
7.7,2060.079242,1030.043963,-5.273e-05,2060.088802,1030.043926,-5.821e-05,2060.088418,1030.044041,-6.394e-05,2060.089931,1030.044006,-6.654e-05,2060.088369,1030.04396,-6.947e-05,2060.087796,1030.043937,-6.907e-05,2060.088257,1030.043998,-6.864e-05,2060.08804,1030.043936,-6.824e-05,2060.088782,1030.044011,-6.822e-05,2060.088012,1030.043935,-6.814e-05,2060.085533,1030.042688,-6.896e-05
7.8,2060.093817,1030.051169,-6.918e-05,2060.103051,1030.051132,-7.664e-05,2060.102833,1030.05124,-8.471e-05,2060.104238,1030.051202,-8.818e-05,2060.102757,1030.05116,-9.235e-05,2060.102219,1030.051135,-9.156e-05,2060.102657,1030.051193,-9.068e-05,2060.102468,1030.051134,-8.99e-05,2060.103119,1030.051206,-8.974e-05,2060.102425,1030.051134,-8.96e-05,2060.10007,1030.049945,-9.718e-05
7.9,2060.108575,1030.058452,-0.00010956,2060.117495,1030.058413,-0.00012104,2060.11742,1030.058511,-0.00013338,2060.118725,1030.058471,-0.00013876,2060.117317,1030.058431,-0.00014503,2060.116814,1030.058404,-0.00014404,2060.11723,1030.05846,-0.00014288,2060.117065,1030.058404,-0.00014181,2060.117634,1030.058472,-0.00014173,2060.117011,1030.058404,-0.00014151,2060.114406,1030.056922,-0.00048407
8.0,2060.123439,1030.065779,-0.0001637,2060.132057,1030.065735,-0.00018099,2060.132103,1030.065822,-0.0001994,2060.133313,1030.065779,-0.00020766,2060.131975,1030.06574,-0.00021697,2060.131506,1030.065713,-0.00021534,2060.131901,1030.065766,-0.00021366,2060.131756,1030.065713,-0.000212,2060.13225,1030.065777,-0.00021192,2060.131694,1030.065713,-0.00021155,2060.12964,1030.064678,-0.00021069
